Rotation	Base moment [kN.m]	Axial Disp. [mm]
0.00003577	32.2402	0.025466
0.00003187	31.1324	0.020009
0.00002586	29.4745	0.012733
0.00001853	27.805	0.005457
0.00001029	26.4071	0
0.00000195	25.3794	-0.003638
-0.00000402	24.7093	-0.005457
-0.00000627	24.3383	-0.007276
-0.00000685	24.1868	-0.005457
-0.0000074	24.1685	-0.003638
-0.00000808	24.2147	-0.001819
-0.00000792	24.2865	0.001819
-0.00000582	24.3665	0.003638
-0.00000329	24.4399	0.003638
-0.0000024	24.493	0.001819
-0.0000028	24.5249	0
-0.00000362	24.5404	-0.003638
-0.00000462	24.5497	-0.005457
-0.00000539	24.5587	-0.009095
-0.00000565	24.5639	-0.009095
-0.00000565	24.5617	-0.007276
-0.00000578	24.5513	-0.005457
-0.00000597	24.5385	0
-0.00000567	24.5267	0.001819
-0.00000426	24.5127	0.003638
-0.00000208	24.4999	0.003638
-0.00000012	24.4944	0.003638
0.00000105	24.4959	0.001819
0.00000108	24.4983	0.001819
-0.00000019	24.5008	0
-0.00000195	24.503	-0.001819
-0.00000334	24.4979	-0.001819
-0.00000397	24.4875	-0.001819
-0.00000374	24.4784	-0.001819
-0.00000319	24.4691	-0.003638
-0.00000187	24.4614	-0.003638
0.0000004	24.4581	-0.005457
0.00000212	24.4553	-0.005457
0.00000274	24.4487	-0.005457
0.00000286	24.4389	-0.005457
0.00000307	24.4268	-0.007276
0.00000301	24.411	-0.005457
0.00000157	24.3957	-0.003638
-0.00000111	24.3853	0
-0.00000337	24.3769	0.003638
-0.000004	24.3642	0.005457
-0.00000381	24.349	0.005457
-0.00000352	24.3419	0.005457
-0.00000272	24.3425	0.003638
-0.00000176	24.3401	0.001819
-0.00000113	24.3227	0
-0.00000064	24.289	0
-0.00000035	24.2503	-0.001819
-0.00000041	24.2084	-0.001819
-0.00000112	24.1603	-0.003638
-0.00000204	24.11	-0.003638
-0.000002	24.0648	-0.003638
-0.00000141	24.0272	-0.003638
-0.00000108	23.9973	-0.001819
-0.0000009	23.9765	0
-0.00000156	23.9614	0.001819
-0.00000371	23.9515	0.001819
-0.00000607	23.9461	0.001819
-0.00000683	23.9393	0
-0.00000568	23.9328	0
-0.0000035	23.9299	0
-0.00000135	23.927	-0.001819
-0.00000021	23.9224	-0.003638
-0.00000054	23.9153	-0.005457
-0.00000129	23.9012	-0.005457
-0.0000009	23.8859	-0.005457
-0.00000011	23.8817	-0.005457
0.00000003	23.8837	-0.005457
0.00000036	23.8796	-0.003638
0.00000074	23.8637	-0.001819
0.00000033	23.8422	-0.001819
-0.00000056	23.8305	-0.001819
-0.0000009	23.8328	0
-0.00000087	23.8442	0
-0.00000112	23.8606	-0.001819
-0.00000089	23.8724	0
-0.00000022	23.8774	0
0.00000009	23.8828	-0.001819
-0.00000003	23.8853	-0.003638
-0.00000112	23.8788	-0.005457
-0.00000317	23.8711	-0.005457
-0.00000543	23.8709	-0.003638
-0.00000739	23.8723	-0.001819
-0.00000853	23.872	-0.001819
-0.00000943	23.8776	-0.001819
-0.00001016	23.8878	-0.003638
-0.0000098	23.8963	-0.003638
-0.0000086	23.9049	-0.003638
