Rotation	Base moment [kN.m]	Axial Disp. [mm]
-0.00000606	24.3909	0.016371
-0.00000569	24.524	-0.012733
-0.00000478	24.7294	-0.009095
-0.00000381	24.9473	-0.005457
-0.00000277	25.1402	-0.001819
-0.00000091	25.2863	0.003638
0.00000176	25.382	0.007276
0.00000317	25.4336	0.009095
0.00000222	25.447	0.009095
0.00000091	25.434	0.009095
0.00000016	25.4119	0.007276
-0.00000109	25.3886	0.005457
-0.00000245	25.364	0.003638
-0.00000208	25.343	0.001819
0.00000001	25.3318	0
0.00000176	25.3298	0
0.00000237	25.3327	0
0.00000296	25.3356	-0.001819
0.00000385	25.3335	-0.001819
0.00000429	25.3268	-0.003638
0.00000367	25.3211	-0.003638
0.00000184	25.3191	-0.003638
-0.00000002	25.3145	-0.003638
-0.00000102	25.3004	-0.001819
-0.0000018	25.2721	0
-0.00000318	25.2321	0.003638
-0.00000433	25.1903	0.005457
-0.00000413	25.1431	0.005457
-0.00000281	25.0802	0.003638
-0.00000142	25.0083	0.003638
-0.00000084	24.9342	0.003638
-0.00000005	24.8599	0.003638
0.00000126	24.7838	0.003638
0.00000147	24.7011	0.003638
0.00000155	24.6147	0.003638
0.00000296	24.5362	0.001819
0.00000406	24.4793	0.001819
0.00000421	24.4496	0.001819
0.00000425	24.4437	0.001819
0.0000047	24.4511	0.001819
0.00000533	24.4618	0.001819
0.00000453	24.4746	0
0.00000229	24.4885	-0.001819
0.00000036	24.5076	-0.005457
-0.00000095	24.5353	-0.009095
-0.00000222	24.5559	-0.009095
-0.00000303	24.5627	-0.007276
-0.00000324	24.5706	-0.003638
-0.00000363	24.5868	-0.001819
-0.00000364	24.6092	0
-0.00000316	24.6287	0
-0.00000304	24.6389	-0.001819
-0.00000288	24.6451	-0.003638
-0.000002	24.646	-0.005457
-0.0000009	24.637	-0.005457
0.00000004	24.6245	-0.005457
0.00000086	24.6145	-0.005457
0.00000082	24.6053	-0.005457
0.00000013	24.5933	-0.005457
-0.00000061	24.5818	-0.003638
-0.00000136	24.5794	-0.003638
-0.00000027	24.5844	-0.003638
0.00000226	24.5857	-0.001819
0.00000341	24.58	0
0.00000299	24.5762	0
0.00000219	24.5809	0.001819
0.00000091	24.5916	0.001819
-0.00000098	24.6037	0.001819
-0.00000238	24.619	0.001819
-0.00000324	24.6381	0.001819
-0.00000384	24.6514	0.001819
-0.00000384	24.6549	0
-0.00000388	24.6528	-0.003638
-0.00000409	24.6458	-0.005457
-0.00000395	24.6374	-0.005457
-0.00000283	24.6366	-0.005457
-0.00000094	24.6422	-0.005457
-0.00000094	24.6477	-0.005457
-0.00000317	24.6499	-0.005457
-0.00000505	24.6477	-0.003638
-0.00000681	24.6505	-0.003638
-0.00000891	24.6647	-0.001819
-0.00000976	24.6848	-0.001819
-0.00000885	24.7092	-0.001819
-0.00000754	24.7386	0
-0.00000678	24.7725	0
-0.00000657	24.81	0
-0.00000685	24.8433	0
-0.00000663	24.8711	0
-0.00000594	24.9007	0.001819
-0.00000565	24.9379	0
-0.00000544	24.982	0
-0.00000517	25.0225	-0.001819
-0.00000546	25.0566	-0.001819
-0.00000656	25.0933	-0.001819
-0.00000785	25.1344	-0.001819
-0.00000923	25.1732	0
-0.00001052	25.2113	0
-0.00001052	25.2545	0
-0.00000882	25.2978	-0.001819
-0.0000066	25.3363	-0.001819
-0.00000432	25.3684	-0.001819
-0.00000164	25.3988	-0.001819
0.00000045	25.4346	-0.001819
0.00000135	25.4696	-0.001819
0.0000018	25.4985	-0.001819
0.00000133	25.5216	0
-0.00000077	25.5356	0.003638
-0.00000317	25.5381	0.003638
-0.00000424	25.5296	0
-0.00000426	25.5169	-0.005457
-0.00000409	25.5089	-0.007276
-0.0000034	25.5023	-0.009095
-0.00000147	25.4929	-0.007276
0.00000013	25.4883	-0.007276
-0.00000057	25.4914	-0.003638
-0.00000196	25.4979	-0.003638
-0.0000024	25.5007	-0.003638
-0.00000259	25.4941	-0.005457
-0.00000265	25.4813	-0.005457
-0.00000316	25.4653	-0.001819
-0.00000513	25.4456	0.001819
-0.00000657	25.4272	0.001819
-0.00000579	25.4125	0.001819
-0.00000454	25.3978	0
-0.00000444	25.3853	-0.001819
-0.00000507	25.3782	-0.001819
-0.00000484	25.3729	-0.003638
-0.0000031	25.3627	-0.003638
-0.00000061	25.3472	-0.005457
0.00000112	25.3315	-0.005457
0.0000022	25.3182	-0.005457
0.00000287	25.3058	-0.003638
0.00000127	25.2933	-0.003638
-0.00000116	25.2831	-0.003638
-0.00000167	25.276	-0.005457
-0.00000132	25.274	-0.007276
-0.00000099	25.2797	-0.009095
-0.00000019	25.2906	-0.009095
0.00000092	25.3001	-0.009095
