Rotation	Base moment [kN.m]	Axial Disp. [mm]
0.00001117	21.7113	0.010914
0.00000824	22.1988	0.009095
0.00000415	22.9335	0.005457
0.00000109	23.6761	0.003638
-0.00000085	24.2956	0.001819
-0.00000236	24.7496	0.001819
-0.00000332	25.0484	0
-0.00000347	25.2227	-0.003638
-0.0000027	25.3066	-0.005457
-0.00000127	25.3279	-0.007276
0.00000012	25.3112	-0.005457
0.00000049	25.2823	-0.003638
-0.00000084	25.2563	-0.001819
-0.00000253	25.2339	0
-0.00000315	25.2126	0
-0.00000328	25.193	0
-0.00000344	25.1798	0
-0.00000339	25.1766	0.001819
-0.00000205	25.1838	0.001819
-0.00000007	25.1997	0
0.00000053	25.2152	0
0.00000085	25.2164	-0.001819
0.00000177	25.2031	-0.001819
0.00000195	25.1892	0
0.00000116	25.1796	0
0.00000009	25.1645	0
-0.00000144	25.1491	0.001819
-0.00000383	25.143	0.001819
-0.00000604	25.1403	0.001819
-0.00000685	25.1421	0.001819
-0.00000597	25.1506	0
-0.00000438	25.1633	-0.001819
-0.00000337	25.1785	-0.003638
-0.00000265	25.1877	-0.003638
-0.00000177	25.1925	-0.003638
-0.00000084	25.2034	-0.001819
0.00000053	25.211	-0.003638
0.00000234	25.1997	-0.003638
0.00000331	25.1758	-0.003638
0.00000313	25.1562	-0.001819
0.00000414	25.1515	0
0.00000659	25.1574	0
0.00000716	25.1609	-0.001819
0.00000558	25.1602	0
0.00000353	25.1622	0
0.00000167	25.1675	0.001819
0.00000057	25.1782	0.001819
0.00000021	25.1943	0.003638
0.00000012	25.2037	0.003638
-0.00000065	25.1989	0.003638
-0.00000255	25.1854	0.003638
-0.0000042	25.1719	0.001819
-0.00000458	25.1677	0.001819
-0.00000402	25.1758	0.001819
-0.00000323	25.1889	0
-0.00000236	25.2025	-0.001819
-0.00000185	25.2185	-0.003638
-0.00000214	25.231	-0.003638
-0.0000024	25.2371	-0.001819
-0.00000249	25.2458	0
-0.0000029	25.2589	0
-0.00000374	25.2721	0
-0.00000481	25.2878	-0.001819
-0.00000549	25.3137	0
-0.00000562	25.3544	0.001819
-0.00000554	25.4052	0
-0.00000473	25.4599	-0.001819
-0.00000296	25.519	-0.003638
-0.00000171	25.5798	-0.003638
-0.00000171	25.6406	-0.003638
-0.00000153	25.7028	-0.003638
-0.00000096	25.7647	-0.001819
-0.00000089	25.8278	0
-0.00000074	25.8925	0.001819
-0.00000047	25.9542	0.001819
-0.00000028	26.0111	0.003638
0.00000124	26.0678	0.003638
0.00000381	26.1242	0.001819
0.00000556	26.1712	0
0.00000611	26.2031	0
0.00000548	26.2266	0
0.00000366	26.2464	0
0.00000157	26.2634	0
-0.00000081	26.2784	0
-0.00000288	26.2832	-0.001819
-0.00000287	26.2727	-0.003638
-0.00000167	26.2583	-0.003638
-0.00000042	26.2535	-0.003638
0.00000103	26.2568	-0.003638
0.00000206	26.2568	-0.001819
0.00000248	26.2482	-0.001819
0.00000268	26.2343	-0.003638
0.00000252	26.2222	-0.007276
0.00000264	26.213	-0.007276
0.0000039	26.2	-0.005457
0.00000513	26.1826	-0.003638
0.00000451	26.168	-0.005457
0.00000269	26.1618	-0.005457
0.00000206	26.1588	-0.007276
0.00000275	26.1509	-0.007276
0.00000285	26.1441	-0.005457
0.0000022	26.146	-0.003638
0.00000155	26.152	-0.003638
0.00000161	26.1546	-0.001819
0.00000262	26.1528	-0.001819
0.00000382	26.1491	-0.001819
0.00000537	26.1426	-0.003638
0.00000738	26.1359	-0.003638
0.00000819	26.1324	-0.005457
0.00000722	26.1265	-0.005457
0.00000569	26.1157	-0.005457
0.00000422	26.1017	-0.003638
0.00000285	26.0862	-0.003638
0.00000278	26.0724	-0.005457
0.00000495	26.0595	-0.005457
0.00000702	26.0423	-0.005457
0.0000068	26.0211	-0.005457
0.00000516	26.006	-0.005457
0.00000338	25.9964	-0.005457
0.00000187	25.9844	-0.003638
0.00000029	25.9731	0
-0.00000155	25.9664	0
-0.00000288	25.9632	0
-0.00000329	25.9647	0
-0.00000279	25.9752	0
-0.00000174	25.9932	0
-0.00000191	26.0097	-0.001819
-0.00000385	26.018	-0.003638
-0.00000568	26.0162	-0.003638
-0.00000652	26.0094	-0.003638
-0.00000572	26.0059	-0.003638
-0.00000303	26.0071	-0.005457
-0.00000031	26.0058	-0.003638
0.00000113	25.9989	-0.003638
0.00000092	25.9947	-0.003638
0.00000065	25.995	-0.001819
0.00000171	25.9976	-0.003638
0.00000175	26.0078	-0.003638
0.00000005	26.0225	-0.003638
-0.00000117	26.0302	-0.005457
-0.00000059	26.0262	-0.005457
0.00000032	26.0145	-0.005457
-0.00000071	26.0029	-0.007276
-0.00000328	26.0002	-0.007276
-0.00000554	26.0048	-0.007276
-0.00000617	26.0056	-0.007276
-0.00000498	25.9998	-0.005457
-0.00000302	25.9916	-0.003638
-0.00000131	25.9855	0
-0.00000034	25.9838	0
-0.00000223	25.9822	0
-0.00000709	25.981	0
-0.00001002	25.9804	0
-0.0000093	25.9758	0
-0.00000727	25.9653	-0.001819
-0.00000468	25.9443	-0.001819
-0.00000184	25.9124	-0.001819
0.00000106	25.88	-0.001819
0.00000424	25.8573	-0.005457
0.00000643	25.8433	-0.007276
0.00000711	25.8314	-0.009095
0.0000069	25.8223	-0.009095
0.00000584	25.8183	-0.007276
0.00000418	25.8131	-0.005457
0.00000218	25.8057	-0.003638
-0.00000005	25.803	-0.003638
-0.00000186	25.801	-0.003638
-0.00000248	25.7904	-0.003638
-0.00000196	25.7726	-0.005457
-0.00000123	25.7562	-0.007276
-0.00000138	25.7456	-0.007276
-0.00000223	25.7396	-0.009095
-0.00000222	25.7374	-0.009095
-0.00000111	25.7378	-0.010914
-0.00000032	25.7345	-0.012733
-0.00000025	25.723	-0.014552
-0.00000029	25.7092	-0.016371
-0.00000003	25.6989	-0.016371
0.00000032	25.6896	-0.016371
0.00000033	25.6754	-0.016371
0.00000056	25.6562	-0.016371
0.00000111	25.6447	-0.016371
0.00000081	25.6457	-0.016371
