Rotation	Base moment [kN.m]	Axial Disp. [mm]
3.54687E-07	22.62768327	0
-8.49977E-08	23.40260359	-0.000438245
-4.76488E-07	23.47558987	-0.001303764
-5.74468E-07	23.50971968	-0.003293433
-4.10112E-08	23.51050107	-0.00580473
-5.29076E-07	23.53990184	-0.009312964
7.25992E-07	23.59351169	-0.012296237
2.37929E-07	23.57091788	-0.015016514
-4.98105E-07	23.53751441	-0.017879836
1.46826E-06	23.56621829	-0.020816631
8.36198E-07	23.53693483	-0.023828223
1.50818E-07	23.49953804	-0.026315
1.95659E-07	23.45229267	-0.029369432
-1.09107E-06	23.43391658	-0.032013442
-1.51117E-07	23.32909439	-0.035322446
-9.30808E-07	23.25753638	-0.038155893
6.2563E-07	23.18265189	-0.040506551
-1.18123E-07	23.16241636	-0.043697131
4.393E-07	23.07806098	-0.046748799
5.75873E-07	23.13871083	-0.049773254
1.3501E-07	23.12117507	-0.052815842
2.75791E-07	23.18615644	-0.054924894
1.35185E-07	23.22204483	-0.058141566
-1.79148E-07	23.33061647	-0.061459185
5.28151E-07	23.32452197	-0.064758438
-7.10345E-07	23.27495244	-0.067569155
-8.9244E-07	23.28219857	-0.070170267
-3.40187E-07	23.14054149	-0.072927302
-6.11373E-07	22.98279599	-0.076442317
4.26424E-07	22.977137	-0.079200181
-1.22203E-06	23.08211415	-0.082315251
3.59261E-08	23.0623215	-0.084612155
2.82974E-07	23.18345549	-0.088006069
-1.15464E-06	23.13207615	-0.090512141
-1.06853E-06	22.97684643	-0.093974304
-3.26898E-08	22.96028992	-0.096300282
-1.00886E-07	22.9411083	-0.099286015
6.1862E-07	22.72773742	-0.10277245
4.95094E-08	22.90484523	-0.105254367
-3.1312E-07	23.04580231	-0.108308086
-9.30931E-08	22.81712619	-0.110616049
2.16735E-07	22.5867349	-0.114329552
-1.07644E-06	22.54481132	-0.11692867
-2.73923E-07	22.4929028	-0.120307275
7.87023E-07	22.44503328	-0.122320882
1.6003E-07	22.39349427	-0.125609091
4.73376E-07	22.35132477	-0.128321481
-1.48172E-06	22.53566844	-0.132270987
-1.28323E-06	22.24147899	-0.13438116
5.67807E-07	22.25653978	-0.137531591
5.91825E-08	22.46506411	-0.140326985
-8.39213E-07	22.66879522	-0.143678117
3.3931E-07	22.35361623	-0.146788967
-4.39055E-07	22.62115675	-0.149838612
-1.51843E-06	22.28830739	-0.152181092
-8.74104E-07	21.94120301	-0.155446221
4.83308E-07	21.57511451	-0.158787632
-8.7138E-07	21.50826776	-0.16212491
3.57918E-07	21.45857645	-0.1643781
6.25344E-07	21.73398336	-0.166977596
4.05114E-07	21.68949332	-0.170297702
4.87694E-07	21.64687194	-0.173676541
-1.16776E-06	21.96061312	-0.176752495
-5.5031E-07	21.60018174	-0.179132228
1.25204E-06	21.18243903	-0.182193166
7.50173E-08	21.10132368	-0.185303783
-3.5024E-07	21.03067096	-0.188642778
4.11174E-08	21.00096016	-0.191142797
1.72807E-07	20.8768992	-0.193848755
3.91499E-07	21.23038752	-0.197322181
3.82693E-07	21.1789147	-0.200430935
-7.05371E-07	21.55719139	-0.203333664
9.70414E-07	21.09488871	-0.205434408
-2.39973E-07	21.48241792	-0.209159669
9.50104E-07	21.44369526	-0.211298073
-3.97355E-07	21.36813458	-0.214958724
6.96036E-07	21.34890503	-0.21862438
-7.09767E-07	21.77612885	-0.221265174
-2.90778E-07	21.31621182	-0.223656723
1.78351E-07	20.82822293	-0.227266588
-4.55149E-07	21.25765063	-0.22986882
-8.25533E-07	20.73262495	-0.233296581
9.23903E-07	20.21467817	-0.235830506
3.69884E-07	20.15224746	-0.239301109
-4.93508E-07	20.59281165	-0.242419177
1.13505E-06	20.56419708	-0.245676478
8.7562E-07	21.01699667	-0.247889417
1.57695E-07	21.46826547	-0.251301346
-9.68073E-07	21.38171116	-0.25366577
-5.45786E-07	20.81143086	-0.257675667
-6.14023E-07	20.79408933	-0.260259825
-6.7193E-08	20.79052572	-0.262477217
2.86181E-08	20.17576822	-0.265923867
2.12925E-07	20.67059675	-0.268970543
-1.33805E-07	21.17692576	-0.271299898
-4.42292E-07	20.58159398	-0.275267041
1.33554E-07	19.91412375	-0.277329629
-4.74656E-07	19.86342709	-0.280517255
-8.7026E-07	19.28477553	-0.283285437
2.90045E-07	19.25929046	-0.28676122
1.31288E-07	19.1739122	-0.289314325
3.73309E-07	19.73318476	-0.29275172
6.55535E-07	20.25204606	-0.295302467
-6.35899E-08	20.77693657	-0.298741696
1.24584E-07	20.10994591	-0.301399021
-1.2482E-06	20.0294232	-0.304515488
-8.94596E-07	19.37346256	-0.307307913
-5.89726E-07	18.7504509	-0.310794232
6.58819E-07	18.03685318	-0.31376163
1.64267E-07	18.58770841	-0.316342994
2.03989E-07	18.54525267	-0.319659783
1.08278E-06	18.46342531	-0.32330172
1.23887E-08	19.05546129	-0.325713147
-6.7221E-09	18.99496921	-0.328458045
1.61732E-07	18.96207542	-0.332162206
6.507E-07	19.55394916	-0.334808035
-7.51224E-07	19.50205926	-0.338275058
6.20686E-07	19.44277314	-0.341327177
-6.2648E-07	20.07534449	-0.343826614
-2.80572E-07	20.07481206	-0.347667446
3.52671E-07	19.35061376	-0.349827998
-1.03666E-06	19.30152821	-0.353323892
-5.07098E-07	18.58059734	-0.355852375
-6.40083E-07	17.85952688	-0.35898872
6.13307E-07	17.09810458	-0.362129023
2.60968E-07	17.79353543	-0.36540594
1.12487E-07	17.7152909	-0.367805609
2.44031E-07	18.42475734	-0.370799811
3.74895E-07	18.36137472	-0.373796225
-6.11072E-07	18.28709575	-0.376647993
2.34841E-07	18.29702565	-0.379844991
-7.75898E-07	19.04280827	-0.382891405
4.48932E-07	19.0075408	-0.386072395
3.21378E-07	18.96793529	-0.388691449
-4.11567E-08	18.91750953	-0.392155271
-1.30627E-07	18.88636669	-0.395433584
-2.0372E-07	18.8685388	-0.398278833
4.45584E-07	18.01717747	-0.401420883
8.76671E-07	18.82360387	-0.404442209
-3.6344E-07	18.7824291	-0.407384199
-3.5482E-07	17.93081694	-0.410457273
4.43596E-07	17.08716173	-0.413435933
-1.2822E-07	17.06903562	-0.416453302
4.75792E-07	16.15715647	-0.419315489
1.81123E-09	16.11550344	-0.422657366
9.75061E-07	16.9802934	-0.425647144
4.57648E-07	16.94223672	-0.429283959
3.05713E-07	17.76226881	-0.43181669
9.82314E-08	17.73285364	-0.434806061
-3.77642E-07	18.60843078	-0.437653638
5.64585E-07	18.55234936	-0.440940159
-7.49135E-07	18.49557438	-0.443766374
2.78876E-07	18.49604223	-0.447015525
-3.83333E-07	18.45022289	-0.450397041
-3.09088E-07	18.42259911	-0.452838503
8.23676E-07	17.4896521	-0.45577799
-4.45781E-07	18.40328852	-0.458820796
3.66954E-07	17.45793119	-0.462121228
-7.8941E-08	17.42285842	-0.464644996
1.21603E-06	17.43657011	-0.467807826
-2.14906E-07	18.40099912	-0.470847372
8.84804E-07	17.41231344	-0.473933309
1.89935E-07	17.3627738	-0.477192996
-1.43091E-07	18.30915619	-0.480299248
-7.60681E-07	18.2882639	-0.483167256
3.20871E-07	17.23492704	-0.486316756
3.91865E-07	18.2094537	-0.490006656
-4.3681E-07	19.17612644	-0.492660402
-6.89296E-07	18.138244	-0.495654371
6.01169E-07	18.10561478	-0.498810448
-3.52426E-07	19.08450366	-0.502303839
-2.06227E-08	17.98779753	-0.504521318
7.17186E-07	18.01191453	-0.508120473
-5.7074E-07	19.03028109	-0.511315317
-2.67088E-07	17.97734281	-0.51427407
5.30503E-08	16.91922752	-0.517638298
-4.29134E-07	16.89944385	-0.520534595
-5.71968E-08	15.77085662	-0.523806098
