Rotation	Base moment [kN.m]	Axial Disp. [mm]
4.85545E-05	-37.54056396	-0.613284938
4.75618E-05	-36.81607585	-0.613776385
4.73305E-05	-36.0785783	-0.61576697
4.77886E-05	-35.59375349	-0.617790327
4.69541E-05	-35.40192976	-0.621307117
4.74973E-05	-35.3636199	-0.624690496
4.91739E-05	-35.39791338	-0.627273868
4.83846E-05	-35.38226052	-0.630446535
4.80012E-05	-35.42987688	-0.633417512
4.79798E-05	-35.4383919	-0.636226847
4.77277E-05	-35.44049366	-0.639275182
4.80587E-05	-35.41655194	-0.642154599
4.8336E-05	-35.32107459	-0.645275752
4.75516E-05	-35.2678321	-0.64795441
4.75429E-05	-35.20858383	-0.651277485
4.91188E-05	-35.29038963	-0.654295727
4.75892E-05	-35.34083822	-0.657268451
4.81461E-05	-35.30431973	-0.659960438
4.83275E-05	-35.24580077	-0.663228566
4.74381E-05	-35.2093666	-0.665946805
4.74553E-05	-35.27395222	-0.668776222
4.91146E-05	-35.26424849	-0.671300048
4.75779E-05	-35.24381899	-0.674594718
4.79545E-05	-35.19840321	-0.677774718
4.71812E-05	-35.16697092	-0.680666999
4.86974E-05	-35.14032244	-0.683471386
4.73891E-05	-35.11812336	-0.686735497
4.85341E-05	-35.0926058	-0.689268403
4.87091E-05	-35.11973551	-0.69276744
4.84578E-05	-35.08579989	-0.695427181
4.66003E-05	-35.07749978	-0.698792923
4.81167E-05	-34.99992065	-0.701588171
4.7401E-05	-34.99302485	-0.704605656
4.83836E-05	-35.00447276	-0.707650383
4.72518E-05	-35.00782238	-0.71091397
4.73725E-05	-34.97290838	-0.713727321
4.79474E-05	-34.952743	-0.716742477
4.66544E-05	-34.95896869	-0.719798554
4.87845E-05	-35.01998224	-0.723636651
4.61601E-05	-34.97054434	-0.725462625
4.75936E-05	-34.93992702	-0.728586223
4.74167E-05	-34.99166216	-0.73177513
4.70361E-05	-35.09211743	-0.735165668
4.75212E-05	-35.09267047	-0.737784023
4.83684E-05	-34.98655638	-0.740417163
4.82817E-05	-34.98423701	-0.743767479
4.71338E-05	-35.06279118	-0.746275589
4.72066E-05	-35.11367276	-0.750235922
4.78718E-05	-35.08733464	-0.752971275
4.64006E-05	-35.10296617	-0.755611574
4.79391E-05	-35.14077908	-0.758738606
4.76326E-05	-35.11296632	-0.762157491
4.67532E-05	-35.07129116	-0.764784403
4.78828E-05	-35.04893699	-0.767633377
4.72034E-05	-35.05343206	-0.770408253
4.66449E-05	-35.06466214	-0.773828942
4.68832E-05	-35.02599874	-0.776729197
4.79889E-05	-35.05915739	-0.779304886
4.76954E-05	-35.04055896	-0.782781688
4.74574E-05	-35.02959436	-0.786006625
4.79095E-05	-35.03222799	-0.788472127
4.82651E-05	-35.12423654	-0.791362254
4.73876E-05	-35.19027568	-0.794776017
4.79527E-05	-35.22401326	-0.797776564
4.79862E-05	-35.19916241	-0.801283401
4.86392E-05	-35.23287608	-0.804143841
4.79498E-05	-35.23895935	-0.806785363
4.83306E-05	-35.24708212	-0.810142548
