Time[sec]	Top_Inplane_Disp[mm]
0	0.002306582
0.200195313	0.000330686
0.400390625	-0.000345367
0.600585938	4.60E-05
0.80078125	0.001619538
1.000976563	-0.000970148
1.201171875	0.002446743
1.401367188	-0.000865402
1.6015625	0.000345634
1.801757813	-0.00106101
2.001953125	-0.002532237
2.202148438	-0.004203635
2.40234375	-0.000301424
2.602539063	-0.003583538
2.802734375	0.004523643
3.002929688	0.00870789
3.203125	-0.000285911
3.403320313	0.022401862
3.603515625	0.039293875
3.803710938	0.061408835
4.00390625	0.08440813
4.204101563	0.104955019
4.404296875	0.128148415
4.604492188	0.14230689
4.8046875	0.160471885
5.004882813	0.185253331
5.205078125	0.206042067
5.405273438	0.225694559
5.60546875	0.237908112
5.805664063	0.264220813
6.005859375	0.287488278
6.206054688	0.30937983
6.40625	0.330247713
6.606445313	0.350032642
6.806640625	0.369312969
7.006835938	0.389642664
7.20703125	0.409160362
7.407226563	0.426262151
7.607421875	0.446975639
7.807617188	0.467414298
8.0078125	0.491644372
8.208007813	0.51464932
8.408203125	0.529717072
8.608398438	0.556805695
8.80859375	0.572686607
9.008789063	0.589978881
9.208984375	0.610387535
9.409179688	0.63075067
9.609375	0.653149269
9.809570313	0.672658149
10.00976563	0.68884698
10.20996094	0.71387866
10.41015625	0.732018554
10.61035156	0.750265259
10.81054688	0.769035949
11.01074219	0.795944943
11.2109375	0.815751089
11.41113281	0.832507794
11.61132813	0.849134231
11.81152344	0.873315032
12.01171875	0.895320496
12.21191406	0.91101462
12.41210938	0.927960151
12.61230469	0.956427422
12.8125	0.977037358
13.01269531	0.994601171
13.21289063	1.016583992
13.41308594	1.036115573
13.61328125	1.053932705
13.81347656	1.075695967
14.01367188	1.095679123
14.21386719	1.114755869
14.4140625	1.135457307
14.61425781	1.156002982
14.81445313	1.175929909
15.01464844	1.199789229
15.21484375	1.214495045
15.41503906	1.238487894
15.61523438	1.258060336
15.81542969	1.276063151
16.015625	1.297343639
16.21582031	1.316638314
16.41601563	1.338328235
16.61621094	1.359632704
16.81640625	1.377962646
17.01660156	1.398565364
17.21679688	1.419423614
17.41699219	1.436446328
17.6171875	1.455000136
17.81738281	1.478247461
18.01757813	1.497705234
18.21777344	1.519777346
18.41796875	1.536610769
18.61816406	1.560811885
18.81835938	1.577919349
19.01855469	1.599517767
19.21875	1.619664836
19.41894531	1.641078154
19.61914063	1.662889495
19.81933594	1.682439703
20.01953125	1.700077672
20.21972656	1.717840787
20.41992188	1.73996028
20.62011719	1.760819694
20.8203125	1.777407248
21.02050781	1.797528705
21.22070313	1.821506652
21.42089844	1.838875469
21.62109375	1.859632786
21.82128906	1.874752459
22.02148438	1.896672067
22.22167969	1.915615983
22.421875	1.938719419
22.62207031	1.956590218
22.82226563	1.977874665
23.02246094	2.000991255
23.22265625	2.021753229
23.42285156	2.034715377
23.62304688	2.062574262
23.82324219	2.081648214
24.0234375	2.099523088
24.22363281	2.118540695
24.42382813	2.141184639
24.62402344	2.158290241
24.82421875	2.181575401
25.02441406	2.197553171
25.22460938	2.21994007
25.42480469	2.238407265
25.625	2.260499401
25.82519531	2.280392684
26.02539063	2.298192587
26.22558594	2.324246801
26.42578125	2.339801285
26.62597656	2.360932529
26.82617188	2.378654201
27.02636719	2.404611325
27.2265625	2.422105987
27.42675781	2.440150362
27.62695313	2.461440861
27.82714844	2.481418429
28.02734375	2.49773846
28.22753906	2.524482319
28.42773438	2.539595123
28.62792969	2.558770357
28.828125	2.582997316
29.02832031	2.603862202
29.22851563	2.623039531
29.42871094	2.64034979
29.62890625	2.660926664
29.82910156	2.683674451
30.02929688	2.702790778
30.22949219	2.723333426
30.4296875	2.741014352
30.62988281	2.760741394
30.83007813	2.778955037
31.03027344	2.799748676
31.23046875	2.821077826
31.43066406	2.83850776
31.63085938	2.853512065
31.83105469	2.879614942
32.03125	2.900829306
32.23144531	2.92086252
32.43164063	2.944808686
32.63183594	2.957991324
32.83203125	2.978777746
33.03222656	3.003481776
33.23242188	3.02427588
33.43261719	3.038129536
33.6328125	3.057701746
33.83300781	3.079287009
34.03320313	3.104169387
34.23339844	3.124865703
34.43359375	3.139840905
34.63378906	3.165102797
34.83398438	3.185470356
35.03417969	3.195027821
35.234375	3.224970307
35.43457031	3.240983933
35.63476563	3.262594808
35.83496094	3.277458483
36.03515625	3.301836317
36.23535156	3.323543118
36.43554688	3.34192859
36.63574219	3.361877985
36.8359375	3.382679308
37.03613281	3.402192378
37.23632813	3.424515482
37.43652344	3.439511172
37.63671875	3.460361855
37.83691406	3.479063278
38.03710938	3.502814332
38.23730469	3.519796999
38.4375	3.539747559
38.63769531	3.563733539
38.83789063	3.582653357
39.03808594	3.599889111
39.23828125	3.620846197
39.43847656	3.645247081
39.63867188	3.661169671
39.83886719	3.67409247
40.0390625	3.701253328
40.23925781	3.720237408
40.43945313	3.740859451
40.63964844	3.764258698
40.83984375	3.786849324
41.04003906	3.8015428
41.24023438	3.823915264
41.44042969	3.844309133
41.640625	3.858671756
41.84082031	3.880017437
42.04101563	3.900191747
42.24121094	3.922378644
42.44140625	3.944222815
42.64160156	3.964113072
42.84179688	3.979616333
43.04199219	4.003786016
43.2421875	4.01962921
43.44238281	4.044114146
43.64257813	4.064151086
43.84277344	4.083298147
44.04296875	4.100984894
44.24316406	4.122805316
44.44335938	4.139182158
44.64355469	4.163426813
44.84375	4.182446282
45.04394531	4.202547483
45.24414063	4.220832605
45.44433594	4.24171146
45.64453125	4.262176808
45.84472656	4.281068221
46.04492188	4.306218121
46.24511719	4.320707172
46.4453125	4.344590474
46.64550781	4.361986648
46.84570313	4.38559521
47.04589844	4.399240483
