Time[sec]	Top_Inplane_Disp[mm]	Top_Inplane_Rotation[%rad]
0	-0.000146892	0
0.099609375	0.006054297	1.44E-05
0.19921875	-0.000330795	4.71E-05
0.298828125	0.002309452	5.69E-05
0.3984375	-0.004440253	4.69E-05
0.498046875	-0.000763871	4.71E-05
0.59765625	-0.003302407	1.91E-05
0.697265625	-0.001702265	2.85E-05
0.796875	-0.000207567	5.15E-05
0.896484375	-0.000414167	7.70E-05
0.99609375	0.003130977	3.41E-05
1.095703125	-0.002740069	8.11E-05
1.1953125	-0.002176545	6.01E-05
1.294921875	0.003290206	1.73E-05
1.39453125	0.00144017	2.54E-05
1.494140625	0.000218007	2.63E-05
1.59375	-0.001676889	4.42E-05
1.693359375	0.004925813	1.44E-05
1.79296875	-0.002262432	2.67E-05
1.892578125	-0.001126528	4.48E-05
1.9921875	-0.001095069	3.85E-05
2.091796875	0.000527437	5.10E-05
2.19140625	0.002344466	3.78E-05
2.291015625	-0.000738013	2.41E-05
2.390625	-0.005747709	1.56E-06
2.490234375	-2.08E-05	4.36E-05
2.58984375	-0.001547475	6.88E-05
2.689453125	0.001568427	1.75E-05
2.7890625	0.004356807	5.77E-05
2.888671875	-0.002287121	1.47E-05
2.98828125	-0.002235492	1.85E-05
3.087890625	0.001414781	3.87E-05
3.1875	0.003600349	4.67E-05
3.287109375	0.000556371	1.43E-05
3.38671875	0.00065834	1.48E-05
3.486328125	0.000564954	1.38E-05
3.5859375	-0.00033181	3.83E-05
3.685546875	-0.003307308	1.39E-05
3.78515625	0.005617419	3.51E-05
3.884765625	0.000543424	1.44E-05
3.984375	-0.001010873	1.34E-05
4.083984375	-0.001086816	1.72E-05
4.18359375	-0.000465367	1.39E-05
4.283203125	0.00343674	1.39E-05
4.3828125	0.000973846	1.32E-05
4.482421875	0.000602085	1.40E-05
4.58203125	0.002751058	4.32E-05
4.681640625	0.004199412	1.46E-05
4.78125	-0.001035197	1.27E-05
4.880859375	-0.001550246	1.75E-05
4.98046875	-0.001525604	2.25E-05
5.080078125	-0.000159789	1.40E-05
5.1796875	0.001036174	2.32E-05
5.279296875	0.000507337	3.20E-05
5.37890625	-0.000400472	4.63E-05
5.478515625	-0.002070078	1.04E-05
5.578125	-0.00381714	4.01E-05
5.677734375	0.001534222	4.75E-05
5.77734375	0.00042526	1.78E-05
5.876953125	-0.001180469	-1.47E-05
5.9765625	-0.000198399	1.23E-05
6.076171875	0.001686037	-6.15E-06
6.17578125	0.00845363	1.39E-05
6.275390625	-0.002428509	3.73E-05
6.375	0.003165216	2.20E-05
6.474609375	0.001809345	4.68E-05
6.57421875	0.000481499	3.85E-05
6.673828125	-0.000577608	1.75E-05
6.7734375	0.002968933	-6.95E-06
6.873046875	0.001329468	5.46E-05
6.97265625	-0.00072829	2.30E-05
7.072265625	0.000466228	2.38E-05
7.171875	-0.000707553	3.48E-05
7.271484375	0.002647892	5.00E-05
7.37109375	-0.003221729	3.43E-05
7.470703125	0.004102381	1.40E-05
7.5703125	-0.000661321	1.33E-05
7.669921875	0.005071978	3.58E-05
7.76953125	-0.00070485	4.69E-06
7.869140625	-0.002316488	2.81E-05
7.96875	0.004489321	5.07E-05
8.068359375	-0.00223513	1.36E-05
8.16796875	0.000827621	1.37E-05
8.267578125	0.000778109	5.38E-06
8.3671875	-0.002480458	4.70E-05
8.466796875	0.003030851	4.29E-05
8.56640625	0.001238865	2.50E-05
8.666015625	-0.001700644	5.18E-06
8.765625	0.000648207	1.32E-05
8.865234375	-0.003462729	2.92E-05
8.96484375	0.001015099	1.46E-05
9.064453125	0.002017577	3.20E-05
9.1640625	0.00077583	1.29E-05
9.263671875	-0.00324731	1.13E-05
9.36328125	-0.00036985	4.08E-05
9.462890625	0.00181623	-7.58E-06
9.5625	0.001148575	1.68E-05
9.662109375	0.002980858	-6.90E-06
9.76171875	0.003637017	1.21E-05
9.861328125	-0.002614297	1.32E-05
9.9609375	-0.001053909	2.40E-05
10.06054688	-0.001148203	-7.80E-06
10.16015625	0.001069483	1.33E-05
10.25976563	-0.00109086	1.24E-05
10.359375	0.001865239	8.31E-06
10.45898438	-0.000745389	2.53E-05
10.55859375	-0.002844296	-6.18E-06
10.65820313	0.004339626	1.70E-05
10.7578125	0.001098494	1.39E-05
10.85742188	0.002751447	1.38E-05
10.95703125	-0.00093856	1.82E-05
11.05664063	-0.000422913	-1.55E-05
11.15625	-0.001920925	1.40E-05
11.25585938	-0.004284834	1.33E-05
11.35546875	0.002356652	1.41E-05
11.45507813	0.00117073	1.27E-05
11.5546875	0.002778954	1.43E-05
11.65429688	-0.00405147	2.25E-05
11.75390625	0.002206529	9.24E-06
11.85351563	-0.003962375	1.26E-05
11.953125	-0.001996141	1.27E-06
12.05273438	0.000975641	2.19E-05
12.15234375	0.002357692	4.51E-05
12.25195313	0.001557311	4.62E-05
12.3515625	0.004192361	1.31E-05
12.45117188	0.000829313	5.46E-06
12.55078125	0.002699303	1.76E-05
12.65039063	0.001712252	4.97E-06
12.75	0.000711875	2.21E-05
12.84960938	0.001400232	4.21E-05
12.94921875	0.000958271	-1.12E-05
13.04882813	0.001596994	3.20E-05
13.1484375	-6.09E-05	-9.39E-06
13.24804688	0.002828903	1.05E-05
13.34765625	-0.001211256	2.84E-05
13.44726563	-0.001371185	-1.55E-05
13.546875	-0.003162071	-7.17E-06
13.64648438	-0.001837077	-9.32E-06
13.74609375	0.002558572	1.25E-05
13.84570313	0.004588686	1.31E-05
13.9453125	0.000668579	1.30E-05
14.04492188	0.002341143	1.29E-05
14.14453125	0.00153593	-1.69E-05
14.24414063	0.000562722	1.27E-05
14.34375	-0.00020163	1.34E-05
14.44335938	-0.003247935	1.31E-05
14.54296875	0.000805032	-9.10E-06
14.64257813	-0.000187904	-1.78E-05
14.7421875	-0.00029054	-1.69E-05
14.84179688	-0.004506631	1.80E-06
14.94140625	-0.001180393	-4.33E-06
15.04101563	-0.00157147	-2.09E-05
15.140625	0.005147444	-2.66E-05
15.24023438	0.001393093	2.03E-05
15.33984375	-0.001078255	2.49E-05
15.43945313	-0.004651452	1.87E-06
15.5390625	-0.001847341	-3.48E-05
15.63867188	-0.001961979	-2.97E-05
15.73828125	0.002649413	8.38E-06
15.83789063	0.00197671	1.84E-05
15.9375	0.000549709	1.22E-05
16.03710938	0.002416538	3.25E-06
16.13671875	-0.002252242	3.37E-05
16.23632813	-0.000404164	1.25E-05
16.3359375	0.004340913	1.28E-05
16.43554688	-4.43E-05	-8.16E-06
16.53515625	-0.00019608	4.25E-05
16.63476563	0.00158117	-2.06E-05
16.734375	0.000161655	1.24E-05
16.83398438	-0.000489476	4.54E-05
16.93359375	-0.002187969	9.52E-06
17.03320313	0.00044159	1.27E-05
17.1328125	0.001290294	-8.06E-06
17.23242188	-0.003215168	1.23E-05
17.33203125	0.000135462	1.30E-05
17.43164063	-9.50E-05	1.23E-05
17.53125	-0.00531356	1.32E-05
17.63085938	3.38E-05	2.98E-06
17.73046875	-0.00237447	1.31E-05
17.83007813	0.001788342	-1.31E-05
17.9296875	-0.000929717	-2.04E-05
18.02929688	-0.002367619	9.13E-06
18.12890625	0.003410083	-7.39E-06
18.22851563	-0.001041032	1.22E-05
18.328125	0.004393441	1.20E-05
18.42773438	-0.002355459	2.28E-06
18.52734375	-0.003660892	-1.31E-05
18.62695313	-0.001667706	2.37E-05
18.7265625	0.00023095	1.61E-05
18.82617188	0.001983536	-8.58E-06
18.92578125	0.002342175	3.85E-06
19.02539063	0.003090645	8.23E-06
19.125	-0.003899243	9.24E-06
19.22460938	0.001629984	-6.68E-06
19.32421875	0.002496735	1.39E-05
19.42382813	0.003035807	1.23E-05
19.5234375	0.002815446	1.94E-06
19.62304688	-0.00047685	1.24E-05
19.72265625	-0.000371396	8.41E-06
19.82226563	0.0002672	9.48E-06
19.921875	-0.00412544	-1.31E-05
20.02148438	0.002785289	2.44E-07
20.12109375	0.002459826	1.94E-06
20.22070313	0.002327954	1.24E-05
20.3203125	0.004389022	-8.42E-06
20.41992188	-0.000806171	1.16E-05
20.51953125	0.004639814	8.84E-06
20.61914063	-0.001919361	1.22E-05
20.71875	0.001298777	1.53E-05
20.81835938	-0.001533081	-2.19E-05
20.91796875	-0.002415041	-2.11E-05
21.01757813	-0.001344106	8.39E-06
21.1171875	-0.000646698	2.69E-06
21.21679688	-7.26E-05	1.18E-05
21.31640625	-0.000992829	1.11E-05
21.41601563	-0.000819616	1.12E-05
21.515625	0.001414834	-2.15E-05
21.61523438	0.001241533	-1.03E-05
21.71484375	0.003708758	1.31E-05
