Time[sec]	Top_Inplane_Disp[mm]	Top_Inplane_Rotation[rad]
0	-0.001663992	0
0.09960938	0.000189941	3.76E-05
0.19921875	9.13E-05	8.50E-06
0.29882813	-0.000737137	2.86E-05
0.3984375	1.66E-05	4.21E-05
0.49804688	-0.000408348	4.92E-05
0.59765625	-0.000199121	4.41E-05
0.69726563	0.004223629	6.21E-05
0.796875	0.004264405	7.52E-05
0.89648438	-0.002476975	8.20E-06
0.99609375	-0.004032399	6.78E-05
1.09570313	-0.001676676	1.28E-05
1.1953125	-0.001326945	4.61E-05
1.29492188	-0.002621224	3.37E-05
1.39453125	0.000561486	1.65E-05
1.49414063	0.000307592	4.25E-05
1.59375	0.002503064	4.10E-05
1.69335938	0.002364194	4.04E-05
1.79296875	0.000269368	4.80E-06
1.89257813	-0.004630735	4.27E-05
1.9921875	-0.000265348	7.69E-05
2.09179688	-0.000551774	4.16E-05
2.19140625	0.005820074	3.75E-05
2.29101563	0.001283564	4.25E-05
2.390625	0.005682919	4.90E-06
2.49023438	0.0001917	4.14E-05
2.58984375	0.001086084	3.04E-05
2.68945313	-0.000607271	4.14E-05
2.7890625	0.000644935	9.60E-06
2.88867188	0.001026027	4.20E-05
2.98828125	0.002983434	-8.60E-06
3.08789063	-0.003681283	4.17E-05
3.1875	-0.000769649	1.29E-05
3.28710938	0.001200175	3.82E-05
3.38671875	-0.002219215	1.97E-05
3.48632813	-0.002307081	5.30E-06
3.5859375	0.002375035	-9.70E-06
3.68554688	-0.000269721	4.15E-05
3.78515625	0.000340297	1.94E-05
3.88476563	-0.002277717	1.19E-05
3.984375	-0.000856748	8.80E-06
4.08398438	-0.002315068	4.13E-05
4.18359375	0.000965021	1.86E-05
4.28320313	0.002986674	8.90E-06
4.3828125	0.000823301	7.46E-05
4.48242188	0.000469807	4.12E-05
4.58203125	-0.002201567	1.79E-05
4.68164063	0.002630557	-1.17E-05
4.78125	0.001472493	4.16E-05
4.88085938	-0.002862042	1.66E-05
4.98046875	0.003992487	1.12E-05
5.08007813	-0.006282439	6.52E-05
5.1796875	1.84E-05	4.06E-05
5.27929688	9.63E-05	-2.13E-05
5.37890625	-0.000626674	4.16E-05
5.47851563	0.002732605	-4.00E-06
5.578125	0.001222263	4.17E-05
5.67773438	0.002755265	2.91E-05
5.77734375	-0.001080209	3.14E-05
5.87695313	0.000112881	1.67E-05
5.9765625	-0.004486699	4.17E-05
6.07617188	0.000645003	1.96E-05
6.17578125	-0.000779179	1.98E-05
6.27539063	-0.000604055	3.80E-05
6.375	-0.004973434	2.00E-05
6.47460938	0.00271555	4.18E-05
6.57421875	0.001832266	3.45E-05
6.67382813	-0.002500377	9.00E-06
