Rotation	Top moment [kN.m]
-3.77000000000000e-08	-14.1448011900000
1.55000000000000e-06	34.5562099400000
-8.48000000000000e-08	-14.1642167200000
5.92000000000000e-07	31.3758688900000
-1.14000000000000e-06	-14.0885816100000
-1.96000000000000e-07	-14.1278388000000
-8.47000000000000e-07	-14.0914540000000
-4.37000000000000e-07	-14.0924545100000
-5.32000000000000e-08	-14.1463207300000
-1.06000000000000e-07	-14.1052810900000
8.03000000000000e-07	18.9565187800000
-7.03000000000000e-07	-14.1438060400000
-5.58000000000000e-07	-14.0763637700000
8.44000000000000e-07	13.8000217800000
3.69000000000000e-07	12.0153068600000
5.59000000000000e-08	10.3667365300000
-4.30000000000000e-07	-14.1178575800000
1.26000000000000e-06	7.20628106900000
-5.80000000000000e-07	-14.2467338500000
-2.89000000000000e-07	-14.1753877300000
-2.81000000000000e-07	-14.1739193200000
1.35000000000000e-07	0.744263380000000
6.01000000000000e-07	-0.845489986000000
-1.89000000000000e-07	-14.1429862500000
-1.47000000000000e-06	-14.1455281800000
-5.33000000000000e-09	-14.0565545000000
-3.97000000000000e-07	-14.0591693500000
4.02000000000000e-07	-8.44196911300000
1.12000000000000e-06	-9.91288541800000
-5.87000000000000e-07	-14.0687882300000
-5.73000000000000e-07	-14.0018514000000
3.63000000000000e-07	-13.5874138400000
9.23000000000000e-07	-13.5308986800000
1.43000000000000e-07	-13.5682585500000
1.69000000000000e-07	-13.5058934400000
1.45000000000000e-07	-13.4904394700000
-8.51000000000000e-08	-13.9425163400000
-8.48000000000000e-07	-13.9766274500000
1.44000000000000e-06	-13.6341717900000
1.39000000000000e-07	-13.5736801000000
-2.59000000000000e-07	-14.0523406300000
-2.79000000000000e-07	-14.0209878700000
-1.19000000000000e-07	-14.0491398900000
8.81000000000000e-07	-13.5360283200000
2.50000000000000e-07	-13.5285003000000
1.54000000000000e-07	-13.5707853900000
7.06000000000000e-07	-13.4621845300000
1.08000000000000e-06	-13.4737557100000
-2.65000000000000e-07	-13.8476935400000
-3.98000000000000e-07	-13.8228459900000
-3.91000000000000e-07	-13.7667095300000
-4.10000000000000e-08	-13.8388268300000
2.66000000000000e-07	-13.3599772700000
1.30000000000000e-07	-13.3527419300000
-1.03000000000000e-07	-13.8306027900000
-5.31000000000000e-07	-13.7433078500000
-9.79000000000000e-07	-13.6767913500000
3.93000000000000e-07	-13.2629653000000
1.09000000000000e-07	-13.3325094300000
-3.03000000000000e-07	-13.6356522800000
-5.09000000000000e-08	-13.6925996100000
4.32000000000000e-07	-13.2340360100000
2.17000000000000e-06	-13.2227313100000
-6.23000000000000e-07	-13.6782135100000
8.12000000000000e-07	-13.2180578400000
4.64000000000000e-07	-13.1873732700000
1.23000000000000e-07	-13.1702678000000
-1.48000000000000e-07	-13.5950082000000
7.61000000000000e-07	-13.0662723800000
3.41000000000000e-07	-13.1472416200000
-1.87000000000000e-07	-13.6466707100000
1.20000000000000e-07	-13.4467597900000
-1.81000000000000e-07	-14.1132578700000
6.79000000000000e-07	-13.8734628800000
-8.26000000000000e-07	-14.6278424700000
1.05000000000000e-06	-14.4892499300000
-1.70000000000000e-07	-15.1726379600000
1.30000000000000e-06	-15.0540100200000
-1.81000000000000e-07	-15.7710146000000
-5.94000000000000e-07	-15.9536019700000
1.15000000000000e-06	-16.0357269600000
-5.73000000000000e-07	-16.8471213900000
2.12000000000000e-07	-16.7943580900000
2.00000000000000e-07	-17.0575733700000
-6.36000000000000e-07	-17.5728885700000
7.77000000000000e-07	-17.4266839400000
3.18000000000000e-07	-17.5246913200000
-4.36000000000000e-07	-18.0906183600000
