Out-of-plane chord rotation [rad]	Out-of-plane Moment [kN.m]
-3.29E-07	35.49135142
-1.17E-06	35.45145378
-2.13E-07	35.41221458
2.33E-07	35.37029396
-3.78E-07	35.38379639
7.50E-07	35.34145477
-2.91E-07	35.296636
-3.96E-07	35.31419583
-9.45E-08	35.26682079
1.92E-07	35.28314006
-4.67E-07	35.30400319
-1.03E-06	35.32296059
-1.11E-06	35.27426855
-3.85E-07	35.29103342
5.99E-07	35.23966741
8.70E-08	35.19146996
-5.98E-08	35.21733276
6.28E-07	35.16026612
3.68E-07	35.11460889
-1.12E-06	35.06767408
-1.11E-06	35.007296
6.31E-07	34.9470446
2.82E-07	34.90009868
-6.27E-08	34.85097555
1.01E-06	34.86369988
7.39E-07	34.81442372
1.78E-07	34.76883639
3.87E-07	34.80304772
5.23E-07	34.75310832
7.01E-07	34.7058442
2.31E-07	34.655915
-3.40E-08	34.60936354
1.01E-06	34.53394348
4.69E-07	34.48504547
-5.81E-07	34.43334185
7.10E-07	34.35251436
6.78E-07	34.3022482
1.88E-07	34.25132949
-2.35E-07	34.20058262
1.62E-06	34.11818911
3.24E-07	34.06599563
9.40E-07	34.01712951
3.89E-08	34.06174119
2.72E-07	34.01072114
4.94E-08	33.95771183
9.19E-07	34.00680951
5.01E-07	33.95933259
-9.96E-07	33.90883467
9.17E-07	33.8197312
9.86E-08	33.77194942
9.14E-07	33.82655728
-3.66E-07	33.88502226
-3.68E-07	33.79035214
-6.53E-08	33.69509961
3.94E-07	33.59691074
5.53E-08	33.54848567
6.18E-07	33.61351601
-1.65E-07	33.67550691
1.52E-06	33.57309465
1.68E-07	33.6397015
1.12E-06	33.70652579
1.06E-06	33.65801207
6.32E-07	33.60822566
-1.02E-07	33.55916242
1.53E-07	33.57210256
1.94E-07	33.64277493
-5.03E-07	33.71369088
5.62E-07	33.60199932
-9.15E-08	33.67786402
-2.90E-07	33.56515733
-1.18E-06	33.45013725
9.66E-07	33.46074643
-1.46E-07	33.41204135
1.06E-06	33.42628155
2.15E-08	33.50708014
-1.83E-07	33.58983917
5.35E-07	33.47104095
9.38E-07	33.55328194
1.47E-06	33.5055938
3.75E-07	33.59295301
1.09E-06	33.68145723
6.22E-07	33.63376366
5.72E-07	33.5877445
-1.74E-06	33.54149927
4.83E-07	33.55838691
5.62E-07	33.51217886
-3.83E-07	33.46633708
8.00E-07	33.33895259
6.98E-07	33.43977808
1.39E-06	33.54045215
3.12E-07	33.50027019
7.19E-08	33.45650612
2.63E-07	33.41363494
1.10E-06	33.52132775
1.89E-07	33.48136202
1.54E-06	33.44195166
1.53E-06	33.550976
1.86E-06	33.66301765
2.48E-07	33.77860937
1.12E-06	33.89390075
1.01E-06	34.01244979
-3.51E-07	34.12989458
5.48E-07	33.99557096
5.83E-07	33.96004483
-5.35E-08	34.07971788
1.02E-06	33.94681346
8.75E-07	34.0716531
6.60E-07	34.03537894
1.03E-06	33.99555635
-2.60E-07	34.12195479
-2.23E-08	34.14786593
1.36E-06	34.17123809
1.42E-06	34.13434617
4.24E-07	34.09817763
4.89E-07	34.23126875
-1.59E-07	34.36548358
-9.36E-07	34.38867058
5.02E-07	34.23894277
-2.36E-07	34.20354961
-1.25E-06	34.05145482
1.02E-07	34.07695924
3.40E-07	34.21602127
2.61E-07	34.36092614
-2.74E-07	34.50580679
-2.33E-07	34.53288645
-1.34E-06	34.37841305
5.34E-07	34.40849147
-4.98E-08	34.37666147
5.56E-07	34.40441981
7.16E-07	34.55713994
-1.39E-07	34.71300245
1.17E-06	34.74299705
-5.13E-08	34.71064771
-4.94E-07	34.5511245
-1.85E-07	34.58116608
1.11E-06	34.61407895
-2.27E-07	34.77788385
2.98E-07	34.81171426
-7.78E-07	34.78247072
-2.64E-08	34.81323996
4.42E-07	34.84394429
1.05E-06	35.01315605
7.98E-07	35.1815663
-3.31E-07	35.35247353
2.37E-07	35.18386236
2.98E-07	35.15702807
1.64E-07	35.32859307
-5.50E-07	35.50238608
-3.45E-07	35.53192531
4.35E-07	35.35946514
1.70E-07	35.53400839
4.88E-07	35.50503046
-1.80E-07	35.47324491
5.43E-07	35.50561807
2.76E-07	35.47653891
-1.40E-07	35.65661568
-1.01E-07	35.47463307
-1.13E-06	35.29222993
-1.11E-06	35.32187344
-3.30E-07	35.1349541
-6.04E-08	34.94589358
2.40E-07	34.97344523
3.50E-07	35.1632647
-3.66E-08	35.35089299
7.36E-08	35.16368002
-8.24E-07	35.13134774
2.25E-07	35.16179528
4.66E-09	35.35520315
-3.74E-07	35.55001112
-1.34E-07	35.58346299
-1.05E-07	35.38904547
1.55E-07	35.42179244
8.53E-07	35.39068452
-8.74E-07	35.36076494
-2.85E-07	35.39312988
-9.49E-07	35.42468604
4.02E-07	35.22402037
3.06E-08	35.19846418
1.88E-08	35.40643254
-2.51E-08	35.61793161
-6.22E-07	35.65030125
-3.41E-07	35.44541417
-7.50E-08	35.23682425
-9.98E-07	35.27004816
5.49E-08	35.06020273
-2.95E-07	35.27181768
3.07E-07	35.06106806
-8.68E-07	35.03207544
-1.56E-06	34.81594353
-2.59E-07	34.6016827
-5.47E-07	34.38224056
4.21E-07	34.16303857
1.02E-06	34.38239473
-1.03E-06	34.35118258
-1.09E-06	34.38040763
-7.51E-07	34.15303431
-4.80E-07	34.18138513
8.51E-07	33.95256059
-3.51E-07	33.91942488
-8.03E-08	33.69190731
-7.90E-07	33.71845831
-4.34E-07	33.48659122
-3.95E-07	33.51398504
2.99E-07	33.28273074
3.85E-07	33.50853887
-3.39E-07	33.73327417
-7.67E-07	33.76024719
-3.84E-07	33.78494115
4.74E-08	33.81073909
-8.05E-07	33.7754919
3.11E-07	33.53223822
4.73E-07	33.49827105
-1.03E-07	33.46487917
1.63E-07	33.21889005
-2.40E-07	33.45388901
1.02E-06	33.47964864
1.00E-06	33.44588165
-5.48E-07	33.40979411
1.63E-07	33.43588106
4.15E-07	33.40341583
-3.93E-07	33.36898208
-1.20E-06	33.39792119
-1.14E-06	33.14188218
6.33E-07	32.88572688
6.80E-07	32.84696826
-1.55E-06	32.80887337
-6.46E-07	32.83253592
-3.03E-08	32.57111899
-1.31E-06	32.31102426
2.44E-07	32.04680514
-2.01E-07	32.29359669
1.62E-07	32.0268872
3.40E-07	31.98591424
-6.86E-07	32.23591959
-4.02E-08	32.25531345
3.61E-07	32.27344217
6.77E-08	32.524048
-1.44E-07	32.4815288
-6.43E-07	32.50025132
-3.28E-07	32.21911165
7.39E-09	32.23626926
3.27E-07	32.49525171
-3.91E-07	32.45337777
2.88E-07	32.17100296
-1.84E-08	32.13046845
2.36E-07	31.84773252
5.52E-07	32.11038889
8.00E-07	32.06690737
1.68E-07	32.02967939
9.08E-07	32.2933964
8.74E-07	32.56284726
-7.84E-08	32.833885
8.58E-07	32.54372733
-1.45E-06	32.81373292
3.55E-07	32.83656798
-2.42E-07	32.80090317
2.91E-08	32.5083239
2.02E-07	32.7851417
8.05E-07	32.74729699
-1.21E-06	33.02571005
4.24E-07	33.05024215
-2.65E-07	33.33103996
2.75E-07	33.03228387
-1.15E-07	33.31409427
-1.79E-06	33.33575339
-6.30E-07	33.03367731
-3.07E-07	33.05398209
-2.30E-07	33.0767454
3.52E-07	33.09836907
8.68E-07	33.05568632
3.25E-07	33.34325322
3.59E-07	33.62805909
3.71E-07	33.91621366
-2.04E-07	34.2054165
-1.17E-07	34.22249822
2.51E-07	34.24221746
3.19E-07	34.19712082
-7.51E-07	34.48809409
4.01E-07	34.16500531
7.83E-07	34.11846113
-2.39E-07	34.41346568
1.12E-06	34.08686713
6.05E-07	34.38375716
1.25E-06	34.67819804
3.61E-07	34.97599231
-1.54E-06	34.93089259
3.43E-07	34.60043213
9.68E-08	34.89884644
7.15E-07	35.19786827
-2.35E-07	35.15025563
6.05E-07	34.81836431
3.53E-07	35.1169528
-1.47E-06	35.07143567
-1.03E-07	34.73324541
-1.21E-06	34.74898812
-7.86E-07	34.41240101
1.28E-06	34.07380247
-1.32E-06	34.38222111
5.97E-07	34.03867326
-2.22E-07	34.34885685
-7.37E-07	34.36629575
9.37E-09	34.01906762
7.56E-08	33.97319925
1.23E-06	33.92389523
5.53E-07	33.8732083
-3.84E-08	34.18952296
1.94E-07	34.20047272
5.51E-07	34.51964021
-4.12E-07	34.4669855
-5.34E-07	34.1106553
-6.12E-07	33.75289361
4.17E-07	33.76309712
-8.87E-07	33.71396774
-3.05E-07	33.35242435
5.38E-07	33.35885836
1.02E-06	33.3044054
-1.55E-07	33.2517886
1.14E-06	33.26321241
-1.12E-07	33.58705331
-1.01E-06	33.21603837
-3.36E-07	33.22144734
4.31E-07	32.84752823
-1.19E-07	32.79345604
-2.30E-07	32.41775229
2.81E-07	32.04313996
-3.49E-07	31.99148643
-8.37E-07	32.00280791
-1.70E-07	31.6235772
6.07E-07	31.2432266
-7.16E-07	31.57830694
-1.19E-06	31.58879352
-9.66E-07	31.20904336
-6.48E-07	31.21819741
-1.54E-07	30.83371791
-2.67E-07	30.84433015
8.51E-07	30.85169209
-3.41E-07	30.80215081
6.76E-07	30.41575651
2.28E-07	30.36696963
-3.04E-07	30.31664305
7.37E-07	30.3260315
-2.85E-08	30.27687418
-5.71E-07	30.28661634
-4.14E-07	30.29867134
6.04E-07	30.31211091
9.37E-07	30.66730737
-2.63E-07	30.6170553
-1.51E-07	30.62797573
2.59E-07	30.6403221
3.16E-07	30.59447833
-1.31E-07	30.95309002
1.82E-09	30.96734175
3.19E-07	31.33342483
-2.95E-07	31.7011273
1.29E-07	31.71462045
1.08E-06	31.66390389
-4.77E-07	31.61447335
6.17E-08	31.21171332
-7.03E-07	31.58176062
-7.86E-07	31.59711302
8.13E-07	31.18845827
1.63E-07	31.13921764
3.43E-07	31.08917473
4.98E-07	31.46583413
-1.27E-06	31.84261972
-1.52E-07	31.43019552
-1.92E-07	31.44348383
8.49E-07	31.02599415
2.87E-07	30.97929157
9.57E-07	31.36049841
-3.49E-07	31.31099807
2.48E-07	31.32418266
9.80E-07	31.27269792
-6.96E-07	31.65710662
1.32E-06	31.23807915
9.39E-07	31.19108736
-7.28E-07	31.14281706
-2.07E-07	30.71620524
5.16E-07	30.72717078
-1.12E-06	31.12246806
6.51E-07	31.13908678
7.53E-07	31.09282193
8.69E-08	31.48594826
5.79E-07	31.88397629
9.26E-07	31.83856405
-9.80E-08	31.79058769
3.92E-07	31.80227887
8.05E-07	31.75559881
-9.03E-07	31.71226011
-2.75E-07	31.72666604
1.01E-06	31.29055109
-1.67E-06	31.24592899
3.69E-07	31.26241345
-4.77E-07	31.671179
-5.77E-08	31.68921541
5.97E-07	31.2515135
6.04E-08	31.66513755
9.20E-08	32.08151034
2.98E-07	32.04252253
-4.29E-08	32.46199936
2.58E-07	32.02345754
-1.31E-06	32.4448338
-1.44E-06	32.00347335
-6.36E-08	31.56576711
-1.76E-08	31.58781706
2.44E-07	31.14271019
-1.06E-06	31.10352287
-1.41E-06	30.65925277
2.24E-07	30.68069289
-7.74E-07	31.1104368
-1.28E-07	30.66448702
-1.28E-06	30.2160196
-5.17E-07	29.76262525
-2.17E-07	29.31145178
3.88E-07	29.33166344
3.29E-07	29.77144625
2.23E-07	29.73573669
-1.07E-06	29.69413981
-2.16E-07	29.23685788
4.19E-07	29.25792704
1.03E-06	29.69966032
1.73E-07	29.66379032
-9.22E-07	29.62744038
-9.15E-07	29.16627705
9.93E-07	28.70349087
-2.01E-07	28.66630216
1.62E-07	28.1995885
3.56E-07	28.16416141
-3.44E-07	28.61329752
9.06E-07	28.14669152
-6.39E-07	28.60042941
1.03E-06	28.13141573
-4.10E-07	28.09430444
8.32E-07	28.1181597
9.27E-07	28.07945222
1.11E-06	28.5395461
1.85E-07	28.50245553
-9.03E-07	28.46635062
-9.70E-07	28.49182815
-6.83E-07	28.01344733
4.65E-07	27.53493846
