Out-of-plane chord rotation [rad]	Out-of-plane Moment [kN.m]
-3.29E-07	7.991489789
-1.17E-06	8.067147423
-2.13E-07	8.046935349
2.33E-07	8.082360873
-3.78E-07	8.234874832
7.50E-07	8.271637725
-2.91E-07	8.304087443
-3.96E-07	8.300654963
-9.45E-08	8.34258878
1.92E-07	8.378047212
-4.67E-07	8.441030493
-1.03E-06	8.458229053
-1.11E-06	8.474877075
-3.85E-07	8.459033667
5.99E-07	8.329801203
8.70E-08	8.43726213
-5.98E-08	8.407104468
6.28E-07	8.382235815
3.68E-07	8.420517262
-1.12E-06	8.517854905
-1.11E-06	8.559654681
6.31E-07	8.443550531
2.82E-07	8.409897004
-6.27E-08	8.505163136
1.01E-06	8.433631884
7.39E-07	8.477199184
1.78E-07	8.406128664
3.87E-07	8.461166552
5.23E-07	8.493624403
7.01E-07	8.469167105
2.31E-07	8.480496943
-3.40E-08	8.504536208
1.01E-06	8.484726451
4.69E-07	8.459752485
-5.81E-07	8.563374391
7.10E-07	8.397323935
6.78E-07	8.501360648
1.88E-07	8.481116061
-2.35E-07	8.615084977
1.62E-06	8.480132822
3.24E-07	8.502531086
9.40E-07	8.524776281
3.89E-08	8.623597828
2.72E-07	8.485232912
4.94E-08	8.597897282
9.19E-07	8.613346294
5.01E-07	8.633006242
-9.96E-07	8.744425258
9.17E-07	8.629593466
9.86E-08	8.649740886
9.14E-07	8.64560878
-3.66E-07	8.75573113
-3.68E-07	8.778907727
-6.53E-08	8.800108462
3.94E-07	8.64413469
5.53E-08	8.68139098
6.18E-07	8.675801158
-1.65E-07	8.896956531
1.52E-06	8.732233453
1.68E-07	8.745152559
1.12E-06	8.754361202
1.06E-06	8.792687515
6.32E-07	8.812701936
-1.02E-07	8.968729523
1.53E-07	8.802016199
1.94E-07	8.875762844
-5.03E-07	9.046698657
5.62E-07	8.881281619
-9.15E-08	9.107529511
-2.90E-07	9.099119874
-1.18E-06	9.146248922
9.66E-07	8.983583608
-1.46E-07	9.221019879
1.06E-06	9.007879876
2.15E-08	9.03700354
-1.83E-07	9.25136748
5.35E-07	9.089787427
9.38E-07	9.14520033
1.47E-06	9.2287666
3.75E-07	9.147989637
1.09E-06	9.153724379
6.22E-07	9.170230506
5.72E-07	9.245792404
-1.74E-06	9.511611237
4.83E-07	9.235354936
5.62E-07	9.228312553
-3.83E-07	9.476519249
8.00E-07	9.30343793
6.98E-07	9.332850312
1.39E-06	9.2941147
3.12E-07	9.351559206
7.19E-08	9.406286799
2.63E-07	9.502056657
1.10E-06	9.539428508
1.89E-07	9.521510802
1.54E-06	9.488450958
1.53E-06	9.547096951
1.86E-06	9.573099147
2.48E-07	9.603903237
1.12E-06	9.574656228
1.01E-06	9.605201421
-3.51E-07	9.960617508
5.48E-07	9.738620315
5.83E-07	9.679228435
-5.35E-08	9.998971549
1.02E-06	9.787889468
8.75E-07	9.739874978
6.60E-07	9.751473449
1.03E-06	9.773783874
-2.60E-07	10.1253538
-2.23E-08	10.1381411
1.36E-06	9.868578284
1.42E-06	9.881664348
4.24E-07	9.90332483
4.89E-07	9.941283374
-1.59E-07	10.19278063
-9.36E-07	10.26905073
5.02E-07	9.993744469
-2.36E-07	10.28466504
-1.25E-06	10.29813468
1.02E-07	10.04634616
3.40E-07	10.04551021
2.61E-07	10.11617084
-2.74E-07	10.37212062
-2.33E-07	10.40950332
-1.34E-06	10.5196929
5.34E-07	10.16319127
-4.98E-08	10.52711942
5.56E-07	10.26201187
7.16E-07	10.26419656
-1.39E-07	10.62074284
1.17E-06	10.28818077
-5.13E-08	10.63366224
-4.94E-07	10.68533694
-1.85E-07	10.67384401
1.11E-06	10.35523785
-2.27E-07	10.75136191
2.98E-07	10.45690754
-7.78E-07	10.8036424
-2.64E-08	10.78959805
4.42E-07	10.50325489
1.05E-06	10.48322071
7.98E-07	10.57791425
-3.31E-07	10.93191936
2.37E-07	10.59265532
2.98E-07	10.59267375
1.64E-07	10.59254455
-5.50E-07	11.01715809
-3.45E-07	10.98382318
4.35E-07	10.6124349
1.70E-07	10.72063576
4.88E-07	10.73044531
-1.80E-07	11.13529691
5.43E-07	10.75854191
2.76E-07	10.74326534
-1.40E-07	11.18944324
-1.01E-07	11.23920678
-1.13E-06	11.22223419
-1.11E-06	11.18032621
-3.30E-07	11.20784246
-6.04E-08	11.27938867
2.40E-07	10.8748949
3.50E-07	10.91519136
-3.66E-08	11.35698737
7.36E-08	10.8989582
-8.24E-07	11.36103796
2.25E-07	11.02755023
4.66E-09	11.01227227
-3.74E-07	11.49716961
-1.34E-07	11.51829248
-1.05E-07	11.54225453
1.55E-07	11.14653474
8.53E-07	11.19137481
-8.74E-07	11.63417384
-2.85E-07	11.65167043
-9.49E-07	11.71109166
4.02E-07	11.38394025
3.06E-08	11.37460121
1.88E-08	11.39699059
-2.51E-08	11.86323108
-6.22E-07	11.88201227
-3.41E-07	11.82130376
-7.50E-08	11.97670344
-9.98E-07	11.96679503
5.49E-08	11.54501155
-2.95E-07	11.96534245
3.07E-07	11.57441576
-8.68E-07	12.05745115
-1.56E-06	12.08481115
-2.59E-07	12.09244564
-5.47E-07	12.05357741
4.21E-07	11.68195515
1.02E-06	11.75320338
-1.03E-06	12.22846444
-1.09E-06	12.18631684
-7.51E-07	12.17509126
-4.80E-07	12.22536954
8.51E-07	11.82337383
-3.51E-07	12.34834297
-8.03E-08	12.36929782
-7.90E-07	12.38705059
-4.34E-07	12.44222235
-3.95E-07	12.44352098
2.99E-07	11.93105342
3.85E-07	11.95822543
-3.39E-07	12.50148003
-7.67E-07	12.52863702
-3.84E-07	12.54136441
4.74E-08	12.04339503
-8.05E-07	12.5816889
3.11E-07	12.08145974
4.73E-07	12.15780584
-1.03E-07	12.63879741
1.63E-07	12.15023261
-2.40E-07	12.73419959
1.02E-06	12.2487061
1.00E-06	12.23744434
-5.48E-07	12.75762659
1.63E-07	12.31632205
4.15E-07	12.29615788
-3.93E-07	12.8729097
-1.20E-06	12.86047548
-1.14E-06	12.85837875
6.33E-07	12.37320703
6.80E-07	12.33342126
-1.55E-06	12.93186264
-6.46E-07	12.97585906
-3.03E-08	13.03052923
-1.31E-06	13.01121596
2.44E-07	12.42751085
-2.01E-07	13.00416485
1.62E-07	12.54088832
3.40E-07	12.53158397
-6.86E-07	13.15611574
-4.02E-08	13.13730967
3.61E-07	12.62561429
6.77E-08	12.65897344
-1.44E-07	13.16874954
-6.43E-07	13.21779463
-3.28E-07	13.2947937
7.39E-09	12.7816538
